mission_number,church,city,state,date_start,date_end,year,decade,duration_days,duration_weeks,confessions,converts,order,lat,long,volume,page
NA,St. Patrick's Church,Providence,RI,1879-03-02,1879-03-16,1879,1870s,14,2 weeks or less,3507,0,Paulist,41.8239891,-71.4128343,2,349
NA,St Mary's Church,New London,CT,1879-03-23,1879-04-02,1879,1870s,10,2 weeks or less,1826,4,Paulist,41.3556539,-72.0995209,2,350
NA,St. Thomas Aquinas's Church,Bridgewater,CT,1879-04-20,1879-04-29,1879,1870s,9,2 weeks or less,1158,0,Paulist,41.5350949,-73.3662305,2,352
NA,,West Roxbury,MA,1879-05-04,1879-05-12,1879,1870s,8,2 weeks or less,984,3,Paulist,42.2797554,-71.1626756,2,353
NA,St. Leo's Church,Leominster,MA,1879-05-18,1879-05-25,1879,1870s,7,1 week or less,725,0,Paulist,42.5250906,-71.759794,2,354
NA,Church of the Holy Trinity,Greenfield,MA,1879-09-14,1879-09-21,1879,1870s,7,1 week or less,550,0,Paulist,42.587915,-72.5994104,2,356
NA,,South Deerfield,MA,1879-09-14,1879-09-21,1879,1870s,7,1 week or less,270,0,Paulist,42.4773097,-72.6078667,2,356
NA,,Shelbourne Falls,MA,1879-09-14,1879-09-21,1879,1870s,7,1 week or less,115,0,Paulist,42.6042514,-72.7392588,2,357
NA,,Chicopee Falls,MA,1879-09-25,1879-10-06,1879,1870s,11,2 weeks or less,1200,0,Paulist,42.1544318,-72.5784089,2,358
NA,,Johnstown,PA,1879-10-12,1879-10-26,1879,1870s,14,2 weeks or less,2344,4,Paulist,40.3267407,-78.9219698,2,359
NA,,Ypsilanti,MI,1879-11-02,1879-11-09,1879,1870s,7,1 week or less,480,0,Paulist,42.2411499,-83.6129939,2,360
NA,,Ann Arbor,MI,1879-11-16,1879-11-24,1879,1870s,8,2 weeks or less,740,2,Paulist,42.2808256,-83.7430378,2,360
NA,Church of St. Paul the Apostle,New York,NY,1879-11-30,1879-12-18,1879,1870s,18,3 weeks or less,5750,0,Paulist,40.7143528,-74.0059731,2,362
NA,,Deposit,NY,1879-11-09,1879-11-16,1879,1870s,7,1 week or less,480,0,Paulist,42.0600834,-75.4276769,2,364
NA,,Harper's Ferry,WV,1880-01-04,1880-01-11,1880,1880s,7,1 week or less,225,2,Paulist,39.3253786,-77.7388818,2,365
NA,,Winchester,VA,1880-01-11,1880-01-20,1880,1880s,9,2 weeks or less,160,7,Paulist,39.1856597,-78.1633341,2,366
NA,,Martinsburg,WV,1880-01-25,1880-02-02,1880,1880s,8,2 weeks or less,582,0,Paulist,39.4562099,-77.9638869,2,367
NA,St. Mary's Church,Little Falls,NY,1880-01-04,1880-01-14,1880,1880s,10,2 weeks or less,1780,9,Paulist,43.0434039,-74.8595957,2,368
NA,,Marine City,MI,1880-01-25,1880-02-01,1880,1880s,7,1 week or less,1000,3,Paulist,42.7194778,-82.492132,2,369
NA,,Algonac,MI,1880-01-25,1880-01-27,1880,1880s,2,1 week or less,150,0,Paulist,42.6183675,-82.531018,2,369
NA,,Northfield,MI,1880-02-08,1880-02-15,1880,1880s,7,1 week or less,523,7,Paulist,42.4003857,-83.7433813,2,370
NA,,Evansville,IN,1880-02-22,1880-03-02,1880,1880s,9,2 weeks or less,794,6,Paulist,37.9715592,-87.5710898,2,371
NA,,Terre Haute,IN,1880-03-07,1880-03-18,1880,1880s,11,2 weeks or less,1600,0,Paulist,39.4667034,-87.4139092,2,372
NA,"St. Rose of Lima's Church, Cannon St",Cannon St.,NY,1880-04-04,1880-04-19,1880,1880s,15,3 weeks or less,4530,18,Paulist,40.7151188,-73.9802919,2,374
NA,"St. Jerome's Church, 137th St. and Alexander Avenue",New York,NY,1880-04-25,1880-05-09,1880,1880s,14,2 weeks or less,2325,5,Paulist,40.7143528,-74.0059731,2,376
NA,,Chambersburg,PA,1880-09-12,1880-09-18,1880,1880s,6,1 week or less,270,5,Paulist,39.9375911,-77.6611022,2,379
NA,Corpus Christi Church,Chambersburg,PA,1880-09-19,1880-09-27,1880,1880s,8,2 weeks or less,390,2,Paulist,39.9375911,-77.6611022,2,381
NA,St. Mary's Church,Hagerstown,MD,1880-10-15,1880-10-15,1880,1880s,0,1 week or less,410,1,Paulist,39.6417629,-77.7199932,2,382
NA,,Carlisle,PA,1880-10-17,1880-10-25,1880,1880s,8,2 weeks or less,195,2,Paulist,40.2025,-77.195,2,383
NA,St. Bridget's Church,Rochester,NY,1880-09-12,1880-09-21,1880,1880s,9,2 weeks or less,1325,1,Paulist,43.16103,-77.6109219,2,384
NA,,Seneca Falls,NY,1880-10-01,1880-10-01,1880,1880s,0,1 week or less,1347,3,Paulist,42.9106219,-76.7966215,2,385
NA,,Susquehanna,PA,1880-11-14,1880-11-23,1880,1880s,9,2 weeks or less,1500,1,Paulist,41.9436071,-75.5991789,2,386
NA,,Mamaroneck,NY,1880-12-05,1880-12-12,1880,1880s,7,1 week or less,490,0,Paulist,40.9487097,-73.7326309,2,388
NA,,Staunton,VA,1880-10-10,1880-10-17,1880,1880s,7,1 week or less,333,0,Paulist,38.149576,-79.0716958,2,389
NA,,Lexington,VA,1880-10-24,1880-10-28,1880,1880s,4,1 week or less,24,0,Paulist,37.7840208,-79.4428157,2,390
NA,,Fredricksburg,VA,1880-10-31,1880-11-04,1880,1880s,4,1 week or less,75,2,Paulist,38.3031837,-77.4605399,2,391
NA,,Petersburg,VA,1880-11-07,1880-11-14,1880,1880s,7,1 week or less,325,0,Paulist,37.2279279,-77.4019267,2,392
NA,St. Patrick's Church,Richmond,VA,1880-11-21,1880-11-28,1880,1880s,7,1 week or less,528,3,Paulist,37.5407246,-77.4360481,2,393
NA,Cathedral,Richmond,VA,1880-11-28,1880-12-12,1880,1880s,14,2 weeks or less,1800,4,Paulist,37.5407246,-77.4360481,2,394
NA,,Bergon Point,NJ,1881-01-16,1881-01-27,1881,1880s,11,2 weeks or less,1975,0,Paulist,40.6476033,-74.1412543,2,395
NA,St. Peter's Church,Hartford,CT,1881-01-16,1881-01-30,1881,1880s,14,2 weeks or less,4288,0,Paulist,41.7637111,-72.6850932,2,397
NA,St. Mark's Church,Kenastia,WI,1881-03-06,1881-03-15,1881,1880s,9,2 weeks or less,714,0,Paulist,42.5847425,-87.8211854,2,399
NA,St. Paul's Church,Kenastia,WI,1881-03-20,1881-03-26,1881,1880s,6,1 week or less,400,0,Paulist,42.5847425,-87.8211854,2,400
NA,,Marine City,MI,1881-03-06,1881-03-15,1881,1880s,9,2 weeks or less,1055,3,Paulist,42.7194778,-82.492132,2,400
NA,,Delavan,WI,1881-03-20,1881-03-29,1881,1880s,9,2 weeks or less,536,0,Paulist,42.6330703,-88.6437138,2,402
NA,St. John's Cathedral,Milwaukee,WI,1881-03-30,1881-04-03,1881,1880s,4,1 week or less,500,0,Paulist,43.0389025,-87.9064736,2,403
NA,St. Francis Xavier's Church,Baltimore,MD,1881-04-17,1881-05-01,1881,1880s,14,2 weeks or less,1350,25,Paulist,39.2903848,-76.6121893,2,404
NA,St. Joseph's Church,Circleville,OH,1881-02-06,1881-02-13,1881,1880s,7,1 week or less,430,1,Paulist,39.600618,-82.9460133,2,406
NA,St. Patrick's Church,Racine,WI,1881-03-21,1881-03-29,1881,1880s,8,2 weeks or less,1017,3,Paulist,42.7261309,-87.7828523,2,407
NA,Church of the Assumption,Evansville,IN,1881-02-20,1881-02-27,1881,1880s,7,1 week or less,750,0,Paulist,37.9715592,-87.5710898,2,408
NA,St. James's Church,Salem,MA,1881-05-08,1881-05-23,1881,1880s,15,3 weeks or less,3926,1,Paulist,42.51954,-70.8967155,2,409
NA,Cathedral,Albany,NY,1881-03-29,1881-04-03,1881,1880s,5,1 week or less,700,0,Paulist,42.6525793,-73.7562317,2,411
NA,St. Patrick's Church,Brockton,MA,1881-09-18,1881-09-25,1881,1880s,7,1 week or less,900,0,Paulist,42.0834335,-71.0183787,2,412
NA,St. Joseph's Church,New York,NY,1881-10-01,1881-10-08,1881,1880s,7,1 week or less,5000,0,Paulist,40.7143528,-74.0059731,2,412
NA,St. Mary's Church (Regina Coeli),Marshall,IL,1881-09-18,1881-09-25,1881,1880s,7,1 week or less,382,1,Paulist,39.3914252,-87.6936384,2,413
NA,Church of the Immaculate Conception,Paris,IL,1881-09-25,1881-10-02,1881,1880s,7,1 week or less,375,2,Paulist,39.611146,-87.6961374,2,414
NA,Church of the Immaculate Conception,South Wheeling,WV,1881-09-18,1881-09-25,1881,1880s,7,1 week or less,576,0,Paulist,40.0639616,-80.7209149,2,415
NA,Wheeling Cathedral,Wheeling,WV,1881-10-02,1881-10-16,1881,1880s,14,2 weeks or less,2500,1,Paulist,40.0639616,-80.7209149,2,417
NA,St. Pius's Church,Chicago,IL,1881-10-23,1881-11-07,1881,1880s,15,3 weeks or less,1550,1,Paulist,41.8781136,-87.6297982,2,419
NA,St. Peter's Church,Oshkosh,WI,1881-10-23,1881-10-30,1881,1880s,7,1 week or less,720,1,Paulist,44.0247062,-88.5426136,2,421
NA,St. Mary's Church,Appleton,WI,1881-10-30,1881-11-06,1881,1880s,7,1 week or less,620,1,Paulist,44.2619309,-88.4153847,2,423
NA,St. Patrick's Church,Chicago,IL,1881-11-13,1881-11-21,1881,1880s,8,2 weeks or less,4600,12,Paulist,41.8781136,-87.6297982,2,424
NA,St. Bridget's Church,Stanton,WI,1881-12-04,1881-12-11,1881,1880s,7,1 week or less,234,1,Paulist,45.1730204,-92.4671398,2,426
NA,Church of the Immaculate Conception,New Richmond,WI,1881-12-18,1881-12-25,1881,1880s,7,1 week or less,404,7,Paulist,45.1230213,-92.5365865,2,428
NA,Church of St. Charles Borromeo,Charleston,IL,1881-12-02,1881-12-09,1881,1880s,7,1 week or less,204,0,Paulist,39.4961458,-88.1761521,2,430
NA,Church of the Annunciation,Brazil,IN,1881-12-04,1881-12-11,1881,1880s,7,1 week or less,335,0,Paulist,39.523652,-87.1250154,2,431
NA,,Carbon,IN,1881-12-11,1881-12-16,1881,1880s,5,1 week or less,84,0,Paulist,39.5996395,-87.1068681,2,432
NA,,Evansville,IN,1881-12-01,1881-12-01,1881,1880s,0,1 week or less,350,0,Paulist,37.9715592,-87.5710898,2,433
NA,St. Augustine's Church,Boston,MA,1881-12-01,1881-12-01,1881,1880s,0,1 week or less,900,0,Paulist,42.3584308,-71.0597732,2,434
NA,St. Patrick's Church,Lowell,MA,1882-01-01,1882-01-07,1882,1880s,6,1 week or less,5800,0,Paulist,42.6334247,-71.3161718,2,434
NA,St. Peter's Church,Hartford,CT,1882-01-08,1882-01-22,1882,1880s,14,2 weeks or less,4622,2,Paulist,41.7637111,-72.6850932,2,435
NA,,New Lebanon,NY,1882-01-08,1882-01-15,1882,1880s,7,1 week or less,410,1,Paulist,42.4639722,-73.3964977,2,437
NA,St. Rose of Lima,New York,NY,1882-02-05,1882-02-19,1882,1880s,14,2 weeks or less,4310,5,Paulist,40.7143528,-74.0059731,2,439
NA,St. Francis de Sales,Boston,MA,1882-02-26,1882-03-10,1882,1880s,12,2 weeks or less,6370,7,Paulist,42.3584308,-71.0597732,2,442
NA,St. John's Cathedral,Milwaukee,WI,1882-03-19,1882-04-02,1882,1880s,14,2 weeks or less,3270,3,Paulist,43.0389025,-87.9064736,2,444
NA,,Kenastia,WI,1882-04-05,1882-04-09,1882,1880s,4,1 week or less,500,0,Paulist,42.5847425,-87.8211854,2,446
NA,St. Rose's Church,Chelsea,MA,1882-04-16,1882-04-30,1882,1880s,14,2 weeks or less,3250,16,Paulist,42.3917638,-71.0328284,2,447
NA,St. Mary's Church,Everett,MA,1882-05-07,1882-05-14,1882,1880s,7,1 week or less,497,3,Paulist,42.40843,-71.0536625,2,448
NA,St. Thomas's Church,West Farms,NY,1882-04-02,1882-04-09,1882,1880s,7,1 week or less,442,2,Paulist,40.8430609,-73.8816001,2,449
NA,Cathedral,Albany,NY,1882-05-07,1882-05-14,1882,1880s,7,1 week or less,700,0,Paulist,42.6525793,-73.7562317,2,450
NA,,Waterville,NY,1882-05-15,1882-05-15,1882,1880s,0,1 week or less,1000,0,Paulist,42.931181,-75.3798924,2,450
NA,,Oriskany Falls,NY,1882-05-15,1882-05-15,1882,1880s,0,1 week or less,300,1,Paulist,42.9392363,-75.4610076,2,450
NA,,Hamilton,NY,1881-11-01,1881-11-01,1881,1880s,0,1 week or less,550,0,Paulist,42.8270136,-75.5446238,2,451
NA,,Sherburne,NY,1881-11-01,1881-11-01,1881,1880s,0,1 week or less,250,0,Paulist,42.6781266,-75.4985123,2,451
NA,,Sing-Sing,NY,1882-05-07,1882-05-14,1882,1880s,7,1 week or less,1350,1,Paulist,42.1719586,-76.8910257,2,451
NA,St. Joseph's,New York,NY,1881-11-06,1881-11-20,1881,1880s,14,2 weeks or less,5000,3,Paulist,40.7143528,-74.0059731,2,453
NA,Cathedral,Denver,CO,1881-12-04,1881-12-14,1881,1880s,10,2 weeks or less,2900,4,Paulist,39.737567,-104.9847179,2,454
NA,,Boulder,CO,1881-12-18,1881-12-22,1881,1880s,4,1 week or less,50,1,Paulist,40.0149856,-105.2705456,2,455
NA,,St. Vrain Valley,CO,1882-01-08,1882-01-12,1882,1880s,4,1 week or less,35,0,Paulist,40.1551451,-105.1071813,2,456
NA,Church of the Immaculate Conception,Leadville,CO,1882-01-15,1882-01-29,1882,1880s,14,2 weeks or less,1700,5,Paulist,39.2508229,-106.2925238,2,456
NA,,Idaho Springs,CO,1882-02-19,1882-02-26,1882,1880s,7,1 week or less,100,3,Paulist,39.7424881,-105.5136081,2,457
NA,,South Boulder and Fort Collins,CO,1882-03-19,1882-04-02,1882,1880s,14,2 weeks or less,NA,0,Paulist,40.5840625,-104.9759032,2,458
NA,,Mount Robinson,CO,1882-04-16,1882-04-24,1882,1880s,8,2 weeks or less,120,0,Paulist,38.1138903,-105.3452765,2,458
NA,,Durango,CO,1882-04-30,1882-05-07,1882,1880s,7,1 week or less,60,0,Paulist,37.27528,-107.8800667,2,459
NA,,Gunnison,CO,1882-05-08,1882-05-08,1882,1880s,0,1 week or less,NA,0,Paulist,38.5458246,-106.9253207,2,459
NA,,Franklin,PA,1882-09-17,1882-09-24,1882,1880s,7,1 week or less,432,6,Paulist,41.3978358,-79.8314437,3,5
NA,"St. Jerome's Church, 137th St. and Alexander Ave.",New York,NY,1882-10-01,1882-10-16,1882,1880s,15,3 weeks or less,2210,1,Paulist,40.7143528,-74.0059731,3,6
NA,St. Teresa's Church,Brooklyn,NY,1882-10-22,1882-11-05,1882,1880s,14,2 weeks or less,2740,2,Paulist,40.65,-73.95,3,8
NA,St. John's Church,Bellaire,OH,1882-11-12,1882-11-27,1882,1880s,15,3 weeks or less,830,2,Paulist,40.0161843,-80.7423054,3,10
NA,St. Patrick's Church,Brockton,MA,1882-11-26,1882-12-10,1882,1880s,14,2 weeks or less,2918,1,Paulist,42.0834335,-71.0183787,3,12
NA,St. Leo's Church,Irvington,NJ,1882-12-17,1882-12-22,1882,1880s,5,1 week or less,125,0,Paulist,40.7263249,-74.2286435,3,14
NA,,Milford,MA,1882-12-31,1883-01-10,1882,1880s,10,2 weeks or less,2700,1,Paulist,42.1398577,-71.5163049,3,15
NA,St. Paul the Apostle,New York,NY,1882-12-31,1883-01-28,1882,1880s,28,more than 3 weeks,6825,21,Paulist,40.7143528,-74.0059731,3,17
NA,Church of the Sacred Heart,East Cambridge,MA,1883-02-04,1883-02-04,1883,1880s,0,1 week or less,5490,2,Paulist,42.3683353,-71.0824613,3,20
NA,St. Bridget's Church,New York,NY,1883-03-04,1883-03-25,1883,1880s,21,3 weeks or less,6082,9,Paulist,40.7143528,-74.0059731,3,23
NA,St. Ann's Church,Baltimore,MD,1883-04-15,1883-04-22,1883,1880s,7,1 week or less,970,1,Paulist,39.2903848,-76.6121893,3,26
NA,St. Rose of Lima,New York,NY,1883-04-15,1883-04-22,1883,1880s,7,1 week or less,850,0,Paulist,40.7143528,-74.0059731,3,29
NA,St. Rose of Lima,Chelsea,MA,1883-04-22,1883-04-29,1883,1880s,7,1 week or less,1050,0,Paulist,42.3917638,-71.0328284,3,30
NA,,Rockland,MA,1883-05-06,1883-05-13,1883,1880s,7,1 week or less,1015,1,Paulist,42.1306563,-70.9161551,3,31
NA,,Abington,MA,1883-05-13,1883-05-20,1883,1880s,7,1 week or less,952,0,Paulist,42.1048228,-70.9453218,3,33
NA,,Suffern,NY,1883-05-13,1883-05-21,1883,1880s,8,2 weeks or less,170,2,Paulist,41.1148179,-74.1495889,3,34
NA,St. Marys Church,Houlton,ME,1883-05-27,1883-06-03,1883,1880s,7,1 week or less,470,2,Paulist,46.1261806,-67.8402316,3,34
NA,,Fort Fairfield,ME,1883-06-05,1883-06-10,1883,1880s,5,1 week or less,230,0,Paulist,46.7722294,-67.8339004,3,36
NA,St. Paul's Church,Kensington,CT,1883-05-06,1883-05-13,1883,1880s,7,1 week or less,395,0,Paulist,41.6353769,-72.7687083,3,38
NA,Our Lady of Mercy,Plainville,CT,1883-05-13,1883-05-20,1883,1880s,7,1 week or less,298,0,Paulist,41.6747222,-72.8569444,3,39
NA,St. Elizabeth's Church,Fort Washington,NY,1883-09-16,1883-09-23,1883,1880s,7,1 week or less,670,0,Paulist,40.8501001,-73.9459708,3,43
NA,St. John's Church,Kings Bridge,NY,1883-09-16,1883-09-23,1883,1880s,7,1 week or less,540,0,Paulist,40.8787108,-73.9051362,3,43
NA,,Plymouth,MA,1883-09-16,1883-09-23,1883,1880s,7,1 week or less,575,0,Paulist,41.9584457,-70.6672621,3,46
NA,,Kingston,MA,1883-09-16,1883-09-19,1883,1880s,3,1 week or less,190,0,Paulist,41.993305,-70.7284371,3,47
NA,St. Peter's Church,Poughkeepsie,NY,1883-09-30,1883-10-07,1883,1880s,7,1 week or less,2500,1,Paulist,41.7003713,-73.9209701,3,49
NA,St. Patrick's Church,Audenried,PA,1883-09-30,1883-10-07,1883,1880s,7,1 week or less,1600,1,Paulist,40.9106414,-75.991593,3,52
NA,St. Patrick's Church,Beaver Meadows,PA,1883-09-30,1883-10-07,1883,1880s,7,1 week or less,535,0,Paulist,40.9281419,-75.9146444,3,52
NA,Church of Our Lady of Perpetual Help,Defiance,OH,1883-10-14,1883-10-31,1883,1880s,17,3 weeks or less,625,0,Paulist,41.2844933,-84.3557802,3,56
NA,St. Patrick's Church,Brooklyn,NY,1883-10-07,1883-10-14,1883,1880s,7,1 week or less,1500,0,Paulist,40.65,-73.95,3,58
NA,Church of the Sacred Heart,Brooklyn,NY,1883-10-21,1883-10-28,1883,1880s,7,1 week or less,1000,0,Paulist,40.65,-73.95,3,59
NA,Church of the Holy Angels,Chicago,IL,1883-10-14,1883-10-21,1883,1880s,7,1 week or less,625,0,Paulist,41.8781136,-87.6297982,3,60
NA,Church of St. Peter and Paul,Sandusky,OH,1883-10-28,1883-11-05,1883,1880s,8,2 weeks or less,1362,1,Paulist,41.4489396,-82.7079605,3,61
NA,St. Mary's,Harford Co.,MD,1883-10-28,1883-11-04,1883,1880s,7,1 week or less,217,0,Paulist,39.5838964,-76.3637285,3,62
NA,St. Ignatius' Church,Hickory,MD,1883-11-04,1883-11-13,1883,1880s,9,2 weeks or less,563,3,Paulist,38.3762854,-75.5949108,3,63
NA,,Port Deposit,MD,1883-11-18,1883-11-25,1883,1880s,7,1 week or less,203,1,Paulist,39.6048327,-76.1152289,3,64
NA,St. Michael's Church,Jersey City,NJ,1883-11-11,1883-12-02,1883,1880s,21,3 weeks or less,4764,12,Paulist,40.7281575,-74.0776417,3,65
NA,Church of St. Rose of Lima,New York,NY,1883-12-09,1883-12-23,1883,1880s,14,2 weeks or less,4410,7,Paulist,40.7143528,-74.0059731,3,68
NA,St. John's Church,Worcester,MA,1884-01-06,1884-01-13,1884,1880s,7,1 week or less,1120,0,Paulist,42.2625932,-71.8022934,3,72
NA,St. Mary's Church,Joliet,IL,1884-01-20,1884-02-03,1884,1880s,14,2 weeks or less,2480,2,Paulist,41.525031,-88.0817251,3,74
NA,St. James's Church,Chicago,IL,1884-02-10,1884-02-24,1884,1880s,14,2 weeks or less,3279,0,Paulist,41.8781136,-87.6297982,3,76
NA,St. Mary's Church,New Britain,CT,1884-03-02,1884-03-16,1884,1880s,14,2 weeks or less,4642,9,Paulist,41.6612104,-72.7795419,3,78
NA,St. Joseph's Church,Brooklyn,NY,1884-03-23,1884-04-06,1884,1880s,14,2 weeks or less,4707,5,Paulist,40.65,-73.95,3,81
NA,Cathedral,Richmond,VA,1883-12-09,1883-12-16,1883,1880s,7,1 week or less,1700,6,Paulist,37.5407246,-77.4360481,3,84
NA,St. Patrick's Church,Richmond,VA,1883-12-09,1883-12-16,1883,1880s,7,1 week or less,720,0,Paulist,37.5407246,-77.4360481,3,85
NA,,Norfolk,VA,1883-12-30,1884-01-06,1883,1880s,7,1 week or less,850,4,Paulist,36.8507689,-76.2858726,3,87
NA,,Portsmouth,VA,1884-01-06,1884-01-13,1884,1880s,7,1 week or less,800,0,Paulist,36.8354258,-76.2982742,3,88
NA,,Old Point Comfort,VA,1884-01-15,1884-01-17,1884,1880s,2,1 week or less,170,0,Paulist,37.0004248,-76.3113315,3,89
NA,,Petersburg,VA,1884-01-20,1884-01-27,1884,1880s,7,1 week or less,320,1,Paulist,37.2279279,-77.4019267,3,90
NA,,Lynchburg,VA,1884-01-27,1884-02-03,1884,1880s,7,1 week or less,625,2,Paulist,37.4137536,-79.1422464,3,91
NA,,Staunton,VA,1884-02-10,1884-02-17,1884,1880s,7,1 week or less,370,1,Paulist,38.149576,-79.0716958,3,92
NA,,Harrisonburg,VA,1884-02-10,1884-02-17,1884,1880s,7,1 week or less,72,0,Paulist,38.4495688,-78.8689155,3,92
NA,,Martinsburg,WV,1884-02-17,1884-02-24,1884,1880s,7,1 week or less,670,5,Paulist,39.4562099,-77.9638869,3,93
NA,,Winchester,VA,1884-03-02,1884-03-09,1884,1880s,7,1 week or less,153,4,Paulist,39.1856597,-78.1633341,3,93
NA,,Keyset,WV,1884-03-11,1884-03-16,1884,1880s,5,1 week or less,190,0,Paulist,39.4409277,-78.9739156,3,94
NA,,Harper's Ferry,WV,1884-03-19,1884-03-23,1884,1880s,4,1 week or less,250,2,Paulist,39.3253786,-77.7388818,3,94
NA,,Havre de Grace,MD,1884-03-30,1884-04-06,1884,1880s,7,1 week or less,380,1,Paulist,39.5492792,-76.091617,3,95
NA,St. Martin's Church,Baltimore,MD,1884-04-20,1884-05-04,1884,1880s,14,2 weeks or less,2000,2,Paulist,39.2903848,-76.6121893,3,96
NA,St. Paul's Church,New York,NY,1884-04-27,1884-05-04,1884,1880s,7,1 week or less,1000,0,Paulist,40.7143528,-74.0059731,3,97
NA,St. Patrick's Church,Lowell,MA,1884-05-05,1884-05-05,1884,1880s,0,1 week or less,6508,0,Paulist,42.6334247,-71.3161718,3,98
NA,St. Peter's Church,Poughkeepsie,NY,1884-09-14,1884-09-21,1884,1880s,7,1 week or less,2100,0,Paulist,41.7003713,-73.9209701,3,103
NA,St. Jerome's Church,New York,NY,1884-09-28,1884-10-05,1884,1880s,7,1 week or less,2475,4,Paulist,40.7143528,-74.0059731,3,104
NA,St. Columba's Church,Ottowa,IL,1884-10-14,1884-10-21,1884,1880s,7,1 week or less,1675,0,Paulist,41.3455892,-88.8425769,3,107
NA,,Seneca,IL,1884-10-21,1884-10-21,1884,1880s,0,1 week or less,550,0,Paulist,41.3111442,-88.6097936,3,108
NA,,Marseilles,IL,1884-10-21,1884-10-21,1884,1880s,0,1 week or less,150,0,Paulist,41.3308666,-88.7081293,3,111
NA,St. James's Church,New York,NY,1884-11-09,1884-12-11,1884,1880s,32,more than 3 weeks,11020,12,Paulist,40.7143528,-74.0059731,3,113
NA,St. John's Church,Utica,NY,1884-12-14,1884-12-21,1884,1880s,7,1 week or less,800,0,Paulist,43.100903,-75.232664,3,119
NA,Church of the Immaculate Conception,New York,NY,1885-01-11,1885-01-19,1885,1880s,8,2 weeks or less,5000,0,Paulist,40.7143528,-74.0059731,3,121
NA,Manhattan College,New York,NY,1885-01-27,1885-01-29,1885,1880s,2,1 week or less,260,0,Paulist,40.7143528,-74.0059731,3,122
NA,Church of St. Paul the Apostle,New York,NY,1885-02-01,1885-02-15,1885,1880s,14,2 weeks or less,6950,10,Paulist,40.7143528,-74.0059731,3,123
NA,St. James's Church,Salem,MA,1885-02-22,1885-03-08,1885,1880s,14,2 weeks or less,4113,0,Paulist,42.51954,-70.8967155,3,129
NA,St. Thomas's Church,Mamaroneck,NY,1885-03-08,1885-03-15,1885,1880s,7,1 week or less,630,6,Paulist,40.9487097,-73.7326309,3,131
NA,,Waukesha,WI,1885-03-07,1885-03-15,1885,1880s,8,2 weeks or less,623,0,Paulist,43.0116784,-88.2314813,3,132
NA,St. Joseph's Church,Terre Haute,IN,1885-03-22,1885-03-29,1885,1880s,7,1 week or less,1100,7,Paulist,39.4667034,-87.4139092,3,134
NA,St. Augustine's Church,Morrissania,NY,1885-04-12,1885-04-19,1885,1880s,7,1 week or less,997,5,Paulist,40.8250663,-73.9109977,3,136
NA,St. Thomas's Church,West Farms,NY,1885-04-12,1885-04-19,1885,1880s,7,1 week or less,336,0,Paulist,40.8430609,-73.8816001,3,137
NA,St. Elizabeth's Church,Chicago,IL,1885-04-12,1885-04-21,1885,1880s,9,2 weeks or less,1676,1,Paulist,41.8781136,-87.6297982,3,139
NA,St. Patrick's Church,Newburgh,NY,1885-04-26,1885-05-10,1885,1880s,14,2 weeks or less,2485,1,Paulist,41.5034271,-74.0104178,3,141
NA,All Saints' Church,Chicago,IL,1885-04-26,1885-05-10,1885,1880s,14,2 weeks or less,2544,0,Paulist,41.8781136,-87.6297982,3,144
NA,St. Patrick's Church,Brooklyn,NY,1885-05-17,1885-05-31,1885,1880s,14,2 weeks or less,5560,0,Paulist,40.65,-73.95,3,146
NA,St. Bridget's Church,Abington,MA,1885-06-03,1885-06-08,1885,1880s,5,1 week or less,230,0,Paulist,42.1048228,-70.9453218,3,149
NA,,Perth Amboy,NJ,1885-09-13,1885-09-20,1885,1880s,7,1 week or less,1042,0,Paulist,40.5067723,-74.2654234,3,152
NA,Church of the Immaculate Conception,Yonkers,NY,1885-09-13,1885-09-27,1885,1880s,14,2 weeks or less,3772,0,Paulist,40.9312099,-73.8987469,3,153
NA,,Currie,MN,1885-09-27,1885-10-04,1885,1880s,7,1 week or less,232,0,Paulist,44.071351,-95.6663993,3,156
NA,,Tracy,MN,1885-10-04,1885-10-09,1885,1880s,5,1 week or less,67,0,Paulist,44.2319444,-95.6227778,3,157
NA,,Willow Lake,MN,1885-10-04,1885-10-07,1885,1880s,3,1 week or less,69,0,Paulist,44.3394439,-95.1640605,3,158
NA,"St. Peter's Church, Capitol Hill",Washington,DC,1885-10-04,1885-10-14,1885,1880s,10,2 weeks or less,2235,4,Paulist,38.9072309,-77.0364641,3,159
NA,,Fulda,MN,1885-10-11,1885-10-18,1885,1880s,7,1 week or less,300,0,Paulist,43.8705185,-95.6002856,3,163
NA,,Woodstock,MN,1885-10-16,1885-10-21,1885,1880s,5,1 week or less,109,0,Paulist,44.0091343,-96.1005806,3,164
NA,,Pipestone,MN,1885-10-24,1885-10-24,1885,1880s,0,1 week or less,50,0,Paulist,43.9985815,-96.3128117,3,166
NA,Cathedral,Baltimore,MD,1885-10-18,1885-11-01,1885,1880s,14,2 weeks or less,2505,0,Paulist,39.2903848,-76.6121893,3,169
NA,Church of the Holy Family,Auburn,NY,1885-11-08,1885-11-22,1885,1880s,14,2 weeks or less,3900,2,Paulist,42.9317335,-76.5660529,3,174
NA,St. Patrick's Church,Pittsburgh,PA,1885-11-08,1885-11-22,1885,1880s,14,2 weeks or less,3048,0,Paulist,40.4406248,-79.9958864,3,177
